loss,val_loss
38488120.0,51632952.0
38484348.0,51628740.0
38480704.0,51624364.0
38476952.0,51619688.0
38473092.0,51614696.0
38468840.0,51609344.0
38463960.0,51603400.0
38458776.0,51596676.0
38452876.0,51589144.0
38446184.0,51580636.0
38438568.0,51571216.0
38430016.0,51560700.0
38420328.0,51548912.0
38409372.0,51535656.0
38396860.0,51520800.0
38382400.0,51504320.0
38366100.0,51485704.0
38348100.0,51464696.0
38327200.0,51441384.0
38304328.0,51415512.0
38278120.0,51386740.0
38249432.0,51355224.0
38217776.0,51320404.0
38183496.0,51282208.0
38142780.0,51240332.0
38099576.0,51194276.0
38052344.0,51144064.0
38002872.0,51089136.0
37941384.0,51029624.0
37879564.0,50964824.0
37809828.0,50894192.0
37731600.0,50817472.0
37650396.0,50733896.0
37560304.0,50643344.0
37459200.0,50545332.0
37351860.0,50439536.0
37236404.0,50325040.0
37106504.0,50201620.0
36969728.0,50068400.0
36818336.0,49925728.0
36655380.0,49772600.0
36491704.0,49607920.0
36301296.0,49431692.0
36096356.0,49243640.0
35884188.0,49042280.0
35647112.0,48828464.0
35399700.0,48599888.0
35135168.0,48356648.0
34847528.0,48099448.0
34551376.0,47826912.0
